selection_rank	sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason	aggregate_score
30	vae_candidate_000912	59c908cbd00abbfdfa893315b82d461fdd5157d50a4aa36391fb40fbcd6a0d84	True	False	eos	92	91	True	False	False	False	True	0.0146385667369	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	91	nat_30c8db5b2a48ec02340b	"[""nat_30c8db5b2a48ec02340b"", ""nat_d4bbfd09a62903f1dd61""]"	2	94	347.5	94	91	75	0.824175824176	1	0.968085106383	0.797872340426	0.202127659574	resolved		346	190	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	59.1	2.7e-18	1.6e-18	59.9	1	True	0.893442623	1	39	12	50	23	23	22	1	0.9565217391	nat_30c8db5b2a48ec02340b	0.89157	0.7872373404	0.9120879121	0.8829787234	3.21e-49	vae_candidate_000338	0.784947957	0.215052043	True	0.202127659574	0.326860634998	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	911	1	0	1	911	91	0.82962962963	0.271173267554	0.441543637924	136	True		0.594738164168
31	vae_candidate_000547	feaf8c0547325aa45512d83cf62f40fe54443d47b3c7e32c106381f552ecc696	True	False	eos	101	100	True	False	False	False	True	0.0151551332752	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	100	nat_a8908cb0d732ddf5c6d4	"[""nat_a8908cb0d732ddf5c6d4""]"	1	96	291.5	108	88	72	0.818181818182	0.88	0.916666666667	0.72	0.28	resolved		346	155	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	57.3	9.9e-18	7.8e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_943ce15fb7773fa3a769	0.75556	0.680004	0.9	0.9574468085	1.12e-38	vae_candidate_000034	0.6800024	0.3199976	True	0.28	0.386023298512	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	546	1	0	1	546	100	0.851851851852	0.328834661696	0.476982809844	136	True		0.594160849578
32	vae_candidate_000501	237d49daae911d9b57e6934e01b1bef4158e070f4e79ed8954baf426a47f7bee	True	False	eos	91	90	True	False	False	False	True	0.0178055515417	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	90	nat_842bc418f0682cd2a9c8	"[""nat_842bc418f0682cd2a9c8"", ""nat_a7791ad55c70e7fd3462""]"	2	95	387.5	95	90	85	0.944444444444	1	0.947368421053	0.894736842105	0.105263157895	resolved		346	196	True	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0		base:manual_review	True	detected	60.1	1.4e-18	1e-18	60.5	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_215f48254c804f1f2876	0.94382	0.8936168085	0.9888888889	0.9468085106	1.23e-47	vae_candidate_000857	0.8695643478	0.1304356522	True	0.105263157895	0.27537767825	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	500	1	0	1	500	90	0.866666666667	0.238660654483	0.371993987816	136	True		0.591061848386
33	vae_candidate_000029	3242d585e56968b6b6d3779a84c6879dd2750e5c60057092d7c0c3c71bae79ae	True	False	eos	91	90	True	False	False	False	True	0.0187212744966	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	90	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8""]"	1	94	382.5	95	89	83	0.932584269663	0.988888888889	0.946808510638	0.882978723404	0.117021276596	resolved		346	196	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	59.7	1.9e-18	1.3e-18	60.2	1	True	0.9590163934	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.89773	0.8586982609	0.9777777778	0.9565217391	7.53e-54	vae_candidate_000857	0.84783	0.15217	True	0.117021276596	0.284272458007	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	28	1	0	1	28	90	0.851851851852	0.242158019784	0.390306167932	136	True		0.590077532001
34	vae_candidate_000696	4175451b8194645180cc583ad73672e0d34e2d66dd3a96e3cc4b4e9831e1116d	True	False	eos	103	102	True	False	False	False	True	0.00928910713337	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	102	nat_67dd37821af98e87666e	"[""nat_67dd37821af98e87666e""]"	1	96	393.5	102	96	84	0.875	0.941176470588	1	0.823529411765	0.176470588235	resolved		346	158	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	58.3	4.9e-18	3.6e-18	58.7	1	True	0.8442622951	1	39	19	57	23	23	23	1	1	nat_67dd37821af98e87666e	0.89011	0.7941177451	0.8921568627	0.9479166667	4.39e-55	vae_candidate_000903	0.7843147059	0.2156852941	True	0.176470588235	0.33598744183	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	695	1	0	1	695	102	0.822222222222	0.27625634106	0.454034118838	136	True		0.589180081291
35	vae_candidate_000836	0dd02133076e63021bf34dbcae8f31904576072013a7ad61b05085e8299a3ba6	True	False	eos	91	90	True	False	False	False	True	0.0148247843305	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	90	nat_73e0b5aa88a198c56cae	"[""nat_73e0b5aa88a198c56cae""]"	1	87	307	91	86	69	0.802325581395	0.955555555556	0.988505747126	0.766666666667	0.233333333333	resolved		346	195	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	57.2	1.1e-17	8.9e-18	57.5	1	True	0.7540983607	1	39	11	49	23	23	23	1	1	nat_fe2e069c7d192a9aa4be	0.81928	0.7391330435	0.9222222222	0.902173913	4.34e-36	vae_candidate_000501	0.7444454444	0.2555545556	True	0.233333333333	0.369018679857	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	835	1	0	1	835	90	0.844444444444	0.311615774101	0.467171329657	136	True		0.589112593473
36	vae_candidate_000635	7b2c8269e84e7bb33fae6cd8d3780b01365b73305e754cafee6c195195a65cb3	True	False	eos	90	89	True	False	False	False	True	0.0146933896951	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	89	nat_30c8db5b2a48ec02340b	"[""nat_30c8db5b2a48ec02340b""]"	1	94	315	96	87	73	0.83908045977	0.977528089888	0.925531914894	0.776595744681	0.223404255319	resolved		346	187	False	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0			False	detected	57.8	7e-18	5.6e-18	58.1	1	True	0.8032786885	1	39	13	51	23	23	23	1	1	nat_30c8db5b2a48ec02340b	0.82022	0.7765912766	1	0.9468085106	3.87e-44	vae_candidate_000582	0.7865123596	0.2134876404	True	0.223404255319	0.329315199642	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	634	1	0	1	634	89	0.837037037037	0.27564901896	0.438611981923	136	True		0.588999535865
37	vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	True	False	eos	111	110	True	False	False	False	True	0.032939625815	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	110	nat_7ee1d64f80049d71603c	"[""nat_7ee1d64f80049d71603c""]"	1	95	141	113	92	46	0.5	0.836363636364	0.968421052632	0.418181818182	0.581818181818	resolved		346	118	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	vae_candidate_000894	0.4460418705	0.5539581295	True	0.581818181818	0.624763575354	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	60	1	0	1	60	110	0.674074074074	0.421136928572	0.747062854498	136	True		0.588708874793
38	vae_candidate_000839	a97e7312e7a30b9c3c71f5a9441ae5ff5f45db4266bd17ddc37b74256ff9649b	True	False	eos	100	99	True	False	False	False	True	0.0136930073044	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	99	nat_a8908cb0d732ddf5c6d4	"[""nat_a8908cb0d732ddf5c6d4""]"	1	96	393.5	100	95	86	0.905263157895	0.959595959596	0.989583333333	0.868686868687	0.131313131313	resolved		346	157	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	59.1	2.7e-18	2e-18	59.5	1	True	0.893442623	1	39	12	50	23	23	23	1	1	nat_69442765a7e1224b0435	0.88542	0.8585890909	0.9696969697	1	4.28e-47	vae_candidate_000157	0.81818	0.18182	True	0.131313131313	0.327387981784	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	838	1	0	1	838	99	0.874074074074	0.286161347041	0.412087272967	136	True		0.588035934024
39	vae_candidate_000535	62675d4dc50128f8c57f313541fe6b9df12a2ca46f12101dfe4955bdc72f394c	True	False	eos	93	92	True	False	False	False	True	0.0209118348169	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	92	nat_fa2383cbfbff83286c61	"[""nat_fa2383cbfbff83286c61""]"	1	96	357	97	91	77	0.846153846154	0.989130434783	0.947916666667	0.802083333333	0.197916666667	resolved		346	189	False	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0			False	detected	58	6.1e-18	4.7e-18	58.4	1	True	0.8114754098	1	39	13	51	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.81395	0.7608663043	0.9347826087	0.9347826087	1.93e-45	vae_candidate_000090	0.7634425806	0.2365574194	True	0.197916666667	0.340136164412	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	534	1	0	1	534	92	0.851851851852	0.289745621536	0.437893769684	136	True		0.58738206022
40	vae_candidate_000623	80b5c56178ba97e5622b6da029531bf9eabd793b3017226202bfbc9f57263578	True	False	eos	94	93	True	False	False	False	True	0.012884397599	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	93	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	2	94	386.5	95	92	86	0.934782608696	0.989247311828	0.978723404255	0.914893617021	0.0851063829787	resolved		346	182	True	no_extra_domain_evidence		1	0	PF00741:10-48	no_extra_tm_evidence	0		base:manual_review	True	detected	60	1.5e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	10	48	23	23	23	1	1	nat_62bc5089576517d5fad1	0.90323	0.90323	1	1	4.17e-47	vae_candidate_000070	0.91398	0.08602	True	0.0851063829787	0.278798732564	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	622	1	0	1	622	93	0.844444444444	0.235430040832	0.390985596387	136	True		0.586877918236
41	vae_candidate_000284	a90dd89dbe7a7eb7d54552120ad00e94cee22b762d685da9428d8d02ec41ffbe	True	False	eos	92	91	True	False	False	False	True	0.0219758658435	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	91	nat_ccd25408209dd226eaf9	"[""nat_ccd25408209dd226eaf9""]"	1	94	327.5	94	91	76	0.835164835165	1	0.968085106383	0.808510638298	0.191489361702	resolved		346	188	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.1	5.6e-18	4.3e-18	58.5	1	True	0.8114754098	1	39	12	50	23	23	23	1	1	nat_30c8db5b2a48ec02340b	0.82418	0.797876383	1	0.9680851064	5.05e-46	vae_candidate_000266	0.7802208791	0.2197791209	True	0.191489361702	0.329335578739	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	283	1	0	1	283	91	0.837037037037	0.275666077018	0.438629039981	136	True		0.58307508756
42	vae_candidate_000903	aca2abfc6de64d5a9afa9e8ed3e4b890b59444c00f66dec5bd0766213cb619ff	True	False	eos	96	95	True	False	False	False	True	0.0118377452871	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	95	nat_a9c10692b45d32f772b4	"[""nat_a9c10692b45d32f772b4"", ""nat_c468502803b4ab5981f1"", ""nat_d07d112598796fe30d76""]"	3	95	419	95	95	88	0.926315789474	1	1	0.926315789474	0.0736842105263	resolved		346	184	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	59.9	1.6e-18	1.2e-18	60.3	1	True	0.9754098361	1	39	12	50	23	23	23	1	1	nat_a9c10692b45d32f772b4	0.92632	0.92632	1	1	4.58e-51	vae_candidate_000841	0.8947407368	0.1052592632	True	0.0736842105263	0.278663153888	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	902	1	0	1	902	95	0.851851851852	0.237379723682	0.38552787183	136	True		0.581939300129
43	vae_candidate_000780	208eaad59261e36f4a364f17d161710de4fc052ef77f34bdf4a2d9aebb851ed8	True	False	eos	90	89	True	False	False	False	True	0.0137125167398	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	89	nat_a36a3359d46f89a3e9c6	"[""nat_a36a3359d46f89a3e9c6""]"	1	93	373	94	88	86	0.977272727273	0.988764044944	0.94623655914	0.924731182796	0.0752688172043	resolved		346	191	False	no_extra_domain_evidence		1	0	PF00741:9-47	no_extra_tm_evidence	0			False	detected	60.1	1.3e-18	1e-18	60.5	1	True	0.9836065574	1	39	9	47	23	23	23	1	1	nat_3e6bf91c590be6684eed	0.88298	0.88298	1	1	4.37e-44	vae_candidate_000857	0.9021707609	0.09782923913	True	0.0752688172043	0.267822037976	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	779	1	0	1	779	89	0.8	0.214257630381	0.414257630381	136	True		0.581674353145
44	vae_candidate_000467	8b0c7460ab2a6b30ea22c7ff4da0a36489e99527033205cf9c1d431e9c33a58a	True	False	eos	103	102	True	False	False	False	True	0.0250427688691	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	102	nat_49d3875a5ef4bbb644f9	"[""nat_49d3875a5ef4bbb644f9"", ""nat_d1b057f953bd558c0457"", ""nat_dad443e0412ef646de5e""]"	3	95	411	102	95	87	0.915789473684	0.93137254902	1	0.852941176471	0.147058823529	resolved		346	158	True	no_extra_domain_evidence		1	0	PF00741:20-58	no_extra_tm_evidence	0		base:manual_review	True	detected	58.9	3.2e-18	2.4e-18	59.3	1	True	0.868852459	1	39	20	58	23	23	23	1	1	nat_dad443e0412ef646de5e	0.85294	0.85294	1	1	4.73e-49	vae_candidate_000135	0.8137219608	0.1862780392	True	0.147058823529	0.310257622568	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	466	1	0	1	466	102	0.8	0.248206098054	0.448206098054	136	True		0.581542226274
45	vae_candidate_000841	90fa3d4dfd30e0eaa00831a122993a23ce8b72e8114037f263d9d33001a8e504	True	False	eos	96	95	True	False	False	False	True	0.0144328203305	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	95	nat_8189ed3c9ac18707f549	"[""nat_8189ed3c9ac18707f549"", ""nat_9ba949b2aab9e2be6898"", ""nat_9ca97034ea4d97950343"", ""nat_a49cfe7d33cec22c3905"", ""nat_a9c10692b45d32f772b4"", ""nat_c468502803b4ab5981f1""]"	6	94	397	96	93	88	0.94623655914	0.978947368421	0.989361702128	0.926315789474	0.0736842105263	resolved		346	174	True	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0		base:manual_review	True	detected	59.9	1.6e-18	1.1e-18	60.3	1	True	0.9754098361	1	39	13	51	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.92632	0.92632	1	1	4.61e-58	vae_candidate_000135	0.90526	0.09474	True	0.0736842105263	0.268520320945	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	840	1	0	1	840	95	0.851851851852	0.228739532657	0.376887680805	136	True		0.579403591893
46	vae_candidate_000574	23b6f03457cac32e64cd3593e50abd9ca62ce8075a3001f7ff9c744219e03a66	True	False	eos	95	94	True	False	False	False	True	0.0141384099728	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	94	nat_1f7ab0dfc808b4ef03c3	"[""nat_1f7ab0dfc808b4ef03c3"", ""nat_92d7d81f95603487cd9c""]"	2	95	407	97	92	89	0.967391304348	0.978723404255	0.968421052632	0.936842105263	0.0631578947368	resolved		346	184	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	59.9	1.6e-18	1.2e-18	60.2	1	True	0.9754098361	1	39	12	50	23	23	23	1	1	nat_92d7d81f95603487cd9c	0.94681	0.9368435789	1	0.9894736842	2.1e-58	vae_candidate_000338	0.8829807447	0.1170192553	True	0.0631578947368	0.274846293957	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	573	1	0	1	573	94	0.844444444444	0.232092426008	0.387647981564	136	True		0.578353506198
47	vae_candidate_000857	08081eb97dd46a6e97d0cd97db2252cd5bbb4cfd370be60bd9b620bbebfbb3aa	True	False	eos	93	92	True	False	False	False	True	0.0150644408916	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	92	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8""]"	1	94	403	94	92	88	0.95652173913	1	0.978723404255	0.936170212766	0.063829787234	resolved		346	189	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	60	1.4e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.93617	0.93617	1	1	3.97e-51	vae_candidate_000780	0.9021707609	0.09782923913	True	0.063829787234	0.264566262818	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	856	1	0	1	856	92	0.844444444444	0.223411510824	0.37896706638	136	True		0.578000651863
48	vae_candidate_000216	cd36da61568351d7dae4ff015b53605891c6ede0708f230bdd74440585dab482	True	False	eos	101	100	True	False	False	False	True	0.038444292474	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	100	nat_168a7720be25950ce7a5	"[""nat_168a7720be25950ce7a5"", ""nat_1eda5f35014077cd8e25"", ""nat_1f7ab0dfc808b4ef03c3"", ""nat_9ca97034ea4d97950343"", ""nat_a49cfe7d33cec22c3905"", ""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	7	94	236	105	89	58	0.651685393258	0.89	0.946808510638	0.58	0.42	resolved		346	155	True	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0		base:manual_review	True	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	vae_candidate_000536	0.5599969	0.4400031	True	0.42	0.483634004626	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	215	1	0	1	215	100	0.814814814815	0.394072151917	0.579257337102	136	True		0.577120190406
