sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance
vae_candidate_000591	88	detected	50.7	1.2e-15	8.9e-16	51.1	1	True	0.4344262295	1	39	13	52	23	23	20	1	0.8695652174	nat_7ee1d64f80049d71603c	0.68421	0.68421	1	1	2.7e-36	0.31579	0.4767226027	vae_candidate_000058	0.6590922727	0.3409077273
vae_candidate_000593	124	detected	49.7	2.4e-15	2.4e-15	49.7	1	True	0.3852459016	1	39	12	50	23	23	20	1	0.8695652174	nat_67dd37821af98e87666e	0.53774	0.4596809677	0.8548387097	1	1.28e-26	0.5403190323	0.6408147683	vae_candidate_000160	0.5161304032	0.4838695968
vae_candidate_000598	94	detected	58.1	5.5e-18	4.2e-18	58.5	1	True	0.8114754098	1	39	13	51	23	23	23	1	1	nat_05d62502987d9405b8af	0.92222	0.8736821053	0.9574468085	0.9473684211	2.16e-48	0.1263178947	0.376617495	vae_candidate_000399	0.8617	0.1383
vae_candidate_000618	95	detected	58.4	4.7e-18	3.5e-18	58.8	1	True	0.8524590164	1	39	13	51	23	23	23	1	1	nat_1f956fdbc151f2ec0ffb	0.9011	0.8631589474	0.9578947368	0.9578947368	2.69e-47	0.1368410526	0.3563244173	vae_candidate_000841	0.8631574737	0.1368425263
vae_candidate_000620	149	detected	56.2	2.2e-17	1.5e-17	56.7	1	True	0.6967213115	1	39	9	47	23	23	23	1	1	nat_8d5392221648a605a7c2	0.45638	0.45638	1	1	3.94e-31	0.54362	0.6858968282	vae_candidate_000121	0.4093922819	0.5906077181
vae_candidate_000623	93	detected	60	1.5e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	10	48	23	23	23	1	1	nat_62bc5089576517d5fad1	0.90323	0.90323	1	1	4.17e-47	0.09677	0.3675783736	vae_candidate_000070	0.91398	0.08602
vae_candidate_000627	90	detected	59.3	2.4e-18	2e-18	59.6	1	True	0.9180327869	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.84091	0.8043486957	0.9777777778	0.9565217391	1.26e-47	0.1956513043	0.3779751772	vae_candidate_000995	0.8064483871	0.1935516129
vae_candidate_000633	99	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	0.4141378788	0.5239232653	vae_candidate_000364	0.6666690909	0.3333309091
vae_candidate_000635	89	detected	57.8	7e-18	5.6e-18	58.1	1	True	0.8032786885	1	39	13	51	23	23	23	1	1	nat_30c8db5b2a48ec02340b	0.82022	0.7765912766	1	0.9468085106	3.87e-44	0.2234087234	0.4210408237	vae_candidate_000582	0.7865123596	0.2134876404
vae_candidate_000638	89	detected	56.4	1.9e-17	1.3e-17	56.9	1	True	0.7131147541	1	39	11	49	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.83333	0.7608665217	0.9438202247	0.9130434783	1.59e-43	0.2391334783	0.4291189551	vae_candidate_000841	0.7578957895	0.2421042105
vae_candidate_000652	84	detected	60.9	7.7e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	11	49	23	23	23	1	1	nat_8f5ca23cd23d0262e12b	0.74667	0.6666696429	0.8928571429	0.9868421053	9.33e-35	0.3333303571	0.4783625423	vae_candidate_000876	0.6547602381	0.3452397619
vae_candidate_000666	99	detected	59.6	2e-18	1.6e-18	59.9	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_4cea385a8794a0b112c3	0.71429	0.656569596	0.9191919192	0.9680851064	5.42e-39	0.343430404	0.4642666511	vae_candidate_000635	0.696969697	0.303030303
vae_candidate_000672	131	detected	35.7	5.8e-11	5.8e-11	35.7	0.9230769231	False	0	4	39	21	58	23	23	22	1	0.9565217391	nat_438c70c6875cb7fc8740	0.5124	0.4558852941	0.9236641221	0.8897058824	6.25e-27	0.5441147059	0.6803487837	vae_candidate_000149	0.4580170992	0.5419829008
vae_candidate_000685	106	detected	54.4	8.3e-17	6e-17	54.8	1	True	0.5655737705	1	39	22	60	23	23	23	1	1	nat_1f956fdbc151f2ec0ffb	0.94253	0.7735859434	0.820754717	0.9157894737	9.47e-54	0.2264140566	0.4271656983	vae_candidate_000467	0.7735849057	0.2264150943
vae_candidate_000687	130	detected	31.7	9.7e-10	2.9e-10	33.4	1	True	0	1	39	12	53	23	23	21	1	0.9130434783	nat_004ac783975534947324	0.52137	0.469233	0.9	1	1.17e-26	0.530767	0.6356816737	vae_candidate_000273	0.515388	0.484612
vae_candidate_000696	102	detected	58.3	4.9e-18	3.6e-18	58.7	1	True	0.8442622951	1	39	19	57	23	23	23	1	1	nat_67dd37821af98e87666e	0.89011	0.7941177451	0.8921568627	0.9479166667	4.39e-55	0.2058822549	0.4204107453	vae_candidate_000903	0.7843147059	0.2156852941
vae_candidate_000701	111	detected	43.9	1.5e-13	1.1e-13	44.4	0.9487179487	False	0.2373841287	3	39	27	63	23	23	22	1	0.9565217391	nat_dad443e0412ef646de5e	0.76923	0.63063	0.8198198198	0.9578947368	2.2e-37	0.36937	0.498963059	vae_candidate_000467	0.6306290991	0.3693709009
vae_candidate_000715	95	detected	57.2	1.1e-17	8.7e-18	57.5	1	True	0.7540983607	1	39	16	54	23	23	23	1	1	nat_edcfcd19baadeee00eaf	0.85714	0.8210498947	0.9578947368	0.9578947368	1.61e-46	0.1789501053	0.3932719868	vae_candidate_000841	0.8105276842	0.1894723158
vae_candidate_000731	125	detected	59.1	2.8e-18	1.7e-18	59.8	1	True	0.893442623	1	39	18	56	23	23	23	1	1	nat_fca422d4ddd5dcd65605	0.87629	0.68000104	0.776	1	8.93e-45	0.31999896	0.4855022005	vae_candidate_000128	0.68800256	0.31199744
vae_candidate_000744	95	detected	43.2	2.5e-13	2e-13	43.5	1	True	0.1475409836	1	39	8	46	23	23	22	1	0.9565217391	nat_b5ccff48f879b7cc34ad	0.6129	0.5999968421	0.9789473684	1	6.05e-29	0.4000031579	0.5471131898	vae_candidate_000058	0.6105282105	0.3894717895
vae_candidate_000750	98	detected	57.7	7.4e-18	5.8e-18	58.1	1	True	0.7786885246	1	39	14	52	23	23	23	1	1	nat_8f3e753527c876cd94f0	0.91579	0.8877556122	0.9693877551	1	1.7e-52	0.1122443878	0.3675561745	vae_candidate_000975	0.877555102	0.122444898
vae_candidate_000752	93	detected	59.1	2.8e-18	2.3e-18	59.4	1	True	0.893442623	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81111	0.7765946809	0.9677419355	0.9574468085	8.6e-45	0.2234053191	0.3941840051	vae_candidate_000574	0.765958617	0.234041383
vae_candidate_000772	98	detected	58.1	5.6e-18	4.3e-18	58.5	1	True	0.8114754098	1	39	13	51	23	23	23	1	1	nat_4b58b860e36e01bdb682	0.91489	0.877547551	0.9591836735	0.9894736842	7.8e-46	0.122452449	0.3860354805	vae_candidate_000157	0.8484820202	0.1515179798
vae_candidate_000780	89	detected	60.1	1.3e-18	1e-18	60.5	1	True	0.9836065574	1	39	9	47	23	23	23	1	1	nat_3e6bf91c590be6684eed	0.88298	0.88298	1	1	4.37e-44	0.11702	0.3417276674	vae_candidate_000857	0.9021707609	0.09782923913
vae_candidate_000785	115	detected	41.5	8.9e-13	6.2e-13	42	0.9743589744	True	0.01639344262	2	39	10	48	23	23	22	1	0.9565217391	nat_d57269e318a762146774	0.57265	0.4890514599	1	0.8540145985	3.39e-32	0.5109485401	0.6553111578	vae_candidate_000388	0.5304318261	0.4695681739
vae_candidate_000792	74	detected	59.2	2.5e-18	2e-18	59.5	1	True	0.9098360656	1	39	12	50	23	23	23	1	1	nat_2a93193629740c6b70af	0.80556	0.7631621053	0.972972973	0.9473684211	4.18e-35	0.2368378947	0.4278214137	vae_candidate_000050	0.797292973	0.202707027
vae_candidate_000812	107	detected	53.7	1.4e-16	1.1e-16	54	1	True	0.5245901639	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.66981	0.6635500935	0.9906542056	1	1.39e-42	0.3364499065	0.4742205178	vae_candidate_000332	0.6635525234	0.3364474766
vae_candidate_000818	94	detected	46.2	3e-14	2.1e-14	46.7	0.9743589744	True	0.2786885246	2	39	30	67	23	23	23	1	1	nat_fb877ea45a36f28c6227	0.72464	0.5319165957	0.7340425532	0.7931034483	3.48e-32	0.4680834043	0.5584835623	vae_candidate_000965	0.5851058511	0.4148941489
vae_candidate_000836	90	detected	57.2	1.1e-17	8.9e-18	57.5	1	True	0.7540983607	1	39	11	49	23	23	23	1	1	nat_fe2e069c7d192a9aa4be	0.81928	0.7391330435	0.9222222222	0.902173913	4.34e-36	0.2608669565	0.4286410474	vae_candidate_000501	0.7444454444	0.2555545556
vae_candidate_000839	99	detected	59.1	2.7e-18	2e-18	59.5	1	True	0.893442623	1	39	12	50	23	23	23	1	1	nat_69442765a7e1224b0435	0.88542	0.8585890909	0.9696969697	1	4.28e-47	0.1414109091	0.4022099692	vae_candidate_000157	0.81818	0.18182
vae_candidate_000841	95	detected	59.9	1.6e-18	1.1e-18	60.3	1	True	0.9754098361	1	39	13	51	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.92632	0.92632	1	1	4.61e-58	0.07368	0.3358904599	vae_candidate_000135	0.90526	0.09474
vae_candidate_000843	94	detected	56.4	2e-17	1.5e-17	56.7	1	True	0.7131147541	1	39	11	49	23	23	21	1	0.9130434783	nat_5d40201e59780a4578e1	0.78022	0.7473686316	0.9680851064	0.9578947368	3.59e-46	0.2526313684	0.4335725389	vae_candidate_000841	0.7578947368	0.2421052632
vae_candidate_000857	92	detected	60	1.4e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.93617	0.93617	1	1	3.97e-51	0.06383	0.3481462864	vae_candidate_000780	0.9021707609	0.09782923913
vae_candidate_000872	71	detected	46.9	1.8e-14	1.4e-14	47.2	0.8461538462	False	0.2628260437	7	39	12	44	23	21	21	0.9130434783	0.9130434783	nat_8d6274f78693091697cf	0.71667	0.6056366197	0.8450704225	0.8571428571	1.83e-24	0.3943633803	0.5840838121	vae_candidate_000118	0.6056326761	0.3943673239
vae_candidate_000876	82	detected	58.8	3.3e-18	2.6e-18	59.2	1	True	0.868852459	1	39	11	49	23	23	23	1	1	nat_0101bc590c89813c161a	0.69149	0.69149	1	1	1.64e-37	0.30851	0.4527714101	vae_candidate_000780	0.6966305618	0.3033694382
vae_candidate_000881	111	detected	54.4	7.9e-17	5.7e-17	54.9	1	True	0.5655737705	1	39	10	48	23	22	18	0.9565217391	0.7826086957	nat_7801d96d034213cf08c8	0.53846	0.4414401802	0.8198198198	1	3.7e-21	0.5585598198	0.6821060827	vae_candidate_000058	0.4414418919	0.5585581081
vae_candidate_000883	92	detected	43.5	2.1e-13	1.5e-13	44	0.9743589744	True	0.2049180328	2	39	6	44	23	22	21	0.9565217391	0.9130434783	nat_943ce15fb7773fa3a769	0.83721	0.7659580851	0.9347826087	0.914893617	5.5e-36	0.2340419149	0.4490860581	vae_candidate_000493	0.78261	0.21739
vae_candidate_000894	139	detected	41.5	8.6e-13	6.2e-13	42	1	True	0.01639344262	1	39	17	55	23	23	23	1	1	nat_d69494036b1115ae54ae	0.80537	0.7692316026	1	0.9551282051	7.74e-75	0.2307683974	0.7432654618	vae_candidate_000785	0.5035956835	0.4964043165
vae_candidate_000895	72	detected	52.2	4e-16	3.3e-16	52.5	0.9743589744	True	0.4836065574	2	39	12	49	23	23	23	1	1	nat_ea5746ec582bf06f4e03	0.78462	0.7083375	0.9027777778	0.9027777778	1.02e-32	0.2916625	0.4936708746	vae_candidate_000792	0.7567572973	0.2432427027
vae_candidate_000900	89	detected	57.7	7.5e-18	5.6e-18	58.1	1	True	0.7786885246	1	39	8	46	23	23	23	1	1	nat_a36a3359d46f89a3e9c6	0.91209	0.8924751613	1	0.9784946237	1.53e-43	0.1075248387	0.3743352784	vae_candidate_000780	0.8988775281	0.1011224719
vae_candidate_000903	95	detected	59.9	1.6e-18	1.2e-18	60.3	1	True	0.9754098361	1	39	12	50	23	23	23	1	1	nat_a9c10692b45d32f772b4	0.92632	0.92632	1	1	4.58e-51	0.07368	0.3582292206	vae_candidate_000841	0.8947407368	0.1052592632
vae_candidate_000905	92	detected	58.5	4.3e-18	3.3e-18	58.9	1	True	0.8524590164	1	39	12	50	23	23	23	1	1	nat_86af2bea85657bdc848a	0.90217	0.8924692473	1	0.9892473118	7.56e-48	0.1075307527	0.3920296833	vae_candidate_000266	0.8586938043	0.1413061957
vae_candidate_000908	96	detected	55	5.4e-17	3.9e-17	55.4	1	True	0.5983606557	1	39	14	52	23	23	23	1	1	nat_1f956fdbc151f2ec0ffb	0.90323	0.8750040625	0.96875	0.9789473684	2.71e-46	0.1249959375	0.3698145727	vae_candidate_000135	0.8437521875	0.1562478125
vae_candidate_000912	91	detected	59.1	2.7e-18	1.6e-18	59.9	1	True	0.893442623	1	39	12	50	23	23	22	1	0.9565217391	nat_30c8db5b2a48ec02340b	0.89157	0.7872373404	0.9120879121	0.8829787234	3.21e-49	0.2127626596	0.4001528367	vae_candidate_000338	0.784947957	0.215052043
vae_candidate_000913	97	detected	45.4	5.4e-14	3.9e-14	45.8	1	True	0.2786885246	1	39	12	49	23	23	23	1	1	nat_a9c10692b45d32f772b4	0.90625	0.8969072165	0.9896907216	1	2.78e-49	0.1030927835	0.3888830017	vae_candidate_000135	0.8969053608	0.1030946392
vae_candidate_000914	98	detected	49.2	3.4e-15	2.5e-15	49.7	1	True	0.3606557377	1	39	12	51	23	23	23	1	1	nat_d92cb9dcfcf48b731b50	0.89362	0.8571457143	0.9591836735	0.9894736842	6.91e-46	0.1428542857	0.376795614	vae_candidate_000399	0.8265290816	0.1734709184
vae_candidate_000921	89	detected	52.7	2.7e-16	1.7e-16	53.4	1	True	0.5	1	39	9	47	23	22	22	0.9565217391	0.9565217391	nat_cac8cf4903b24e69aca8	0.77027	0.6404492135	0.8314606742	0.9736842105	1.02e-33	0.3595507865	0.5116624914	vae_candidate_000344	0.6404480899	0.3595519101
vae_candidate_000926	77	detected	57.9	6.5e-18	4.4e-18	58.4	1	True	0.8114754098	1	39	11	49	23	22	22	0.9565217391	0.9565217391	nat_5bc7120641a4b206dec6	0.68056	0.6363677922	0.9350649351	1	5.94e-30	0.3636322078	0.5556911022	vae_candidate_000118	0.6103927273	0.3896072727
vae_candidate_000927	90	detected	58.8	3.4e-18	2.6e-18	59.2	1	True	0.868852459	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.82609	0.8000029474	1	0.9684210526	1.07e-43	0.1999970526	0.4375181004	vae_candidate_000900	0.7999973333	0.2000026667
vae_candidate_000946	117	detected	57.8	7.1e-18	5.3e-18	58.2	1	True	0.8032786885	1	39	9	47	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.78049	0.5470100855	0.7008547009	0.8631578947	9.61e-39	0.4529899145	0.5435281526	vae_candidate_000547	0.5726495726	0.4273504274
vae_candidate_000948	104	detected	59.6	1.9e-18	1.4e-18	60	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_144165ea4d3ea8a64b2e	0.78409	0.6634607692	0.8461538462	0.9263157895	6.32e-42	0.3365392308	0.4561174793	vae_candidate_000627	0.6730769231	0.3269230769
vae_candidate_000959	108	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	0.38889	0.5340109649	vae_candidate_000020	0.6018566667	0.3981433333
vae_candidate_000965	92	detected	59.3	2.5e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	19	57	23	23	22	1	0.9565217391	nat_c8490949e18e771ed8c8	0.78481	0.6595743617	0.8586956522	0.8404255319	1.05e-38	0.3404256383	0.4663084551	vae_candidate_000220	0.6956491304	0.3043508696
vae_candidate_000966	92	detected	42.3	4.8e-13	4.8e-13	42.3	1	True	0.06557377049	1	39	10	51	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.65625	0.6631578947	1	1	6.19e-32	0.3368421053	0.4980014874	vae_candidate_000344	0.6521771739	0.3478228261
vae_candidate_000967	95	detected	59.2	2.6e-18	2e-18	59.6	1	True	0.9098360656	1	39	12	50	23	23	23	1	1	nat_a49cfe7d33cec22c3905	0.94737	0.94737	1	1	1.08e-55	0.05263	0.3416034458	vae_candidate_000399	0.9157856842	0.08421431579
vae_candidate_000975	95	detected	57.8	6.9e-18	5.4e-18	58.2	1	True	0.8032786885	1	39	12	50	23	23	23	1	1	nat_c0d8f1302fa41452efbc	0.91579	0.91579	1	1	2.24e-52	0.08421	0.3679229016	vae_candidate_000750	0.877555102	0.122444898
vae_candidate_000995	93	detected	55.6	3.4e-17	2.6e-17	56	1	True	0.6393442623	1	39	12	50	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.85106	0.8421014737	1	0.9894736842	9.16e-53	0.1578985263	0.3801801997	vae_candidate_000135	0.8709634409	0.1290365591
